연도,행정구역,청년_19_29_증감률(%)_z,청년_30_39_증감률(%)_z,상용월평균급여(원)_z,문화예술활동(건)_z,대학수(천명당)_z,문화기반시설수(십만명당)_z,기업밀도_z,연앙인구수(천명)_z,재정자립도(%)_z,지역내총생산(십억원)_z
2016,강원특별자치도,-0.1190636676168565,-0.28483488308421134,-0.6002335531480112,-0.20508493921455256,0.854702877230898,1.5496599929538422,-0.38765736574915866,-0.45594053316531863,-1.1886259494451528,-0.5203608125886887
2016,경기도,0.014970950131446713,-0.04504620042178302,0.16693395745303358,0.6804461297097087,-0.923380760970966,-0.5984742499999245,3.0405831065187217,2.9466922959984547,1.0699327709700561,2.677738016251646
2016,경상남도,-0.35978209693518226,-0.29179136114953835,-0.01217081753868676,-0.11763830000195925,-0.6529554469862935,-0.21440950788951443,0.1626364919239569,0.10592710332160962,-0.37010721909319866,0.0457727719863549
2016,경상북도,-0.370028025095106,-0.3045187210401528,0.1618140145302085,-0.3510672879408818,1.4826849208010973,0.11813593358747726,-0.025902437251634738,-0.1002096739367937,-0.9755000309157909,0.035230443400204085
2016,광주광역시,-0.426918749107251,-0.5475178713950911,-0.6746919356836432,-0.2621929484962462,0.839705016580879,-0.6270088540712865,-0.5001039636708203,-0.4791175636740361,0.20994088890428042,-0.5635492138705405
2016,대구광역시,-0.4248909800733485,-0.37718112082238303,-1.2726166085960864,0.05225802761107921,-1.203060615181409,-0.8351294371810462,-0.03409703581637227,-0.16750210320567188,0.4351631433501737,-0.4144634713928081
2016,대전광역시,-0.220938492326928,-0.34857322272279156,0.14706142308673364,-0.36427351508727346,1.1209257945935402,-0.6521487075160121,-0.5077234265310558,-0.4655224851581191,0.42018672745351554,-0.5559813980334491
2016,부산광역시,-0.5793798960683947,-0.23982412223639193,-0.7520479237120158,0.20395117726557782,-0.7243835935143387,-0.8710359642126765,0.24494691708142355,0.14287890689269328,0.45359565522298295,-0.12794774083964655
2016,서울특별시,-0.5289233469567279,-0.4312661902231491,1.4393380403961262,3.6875397434488875,-0.10103072286702508,-0.6667863891520964,1.8619328110000102,2.1099436326797147,2.1672432433982562,2.460815882525865
2016,세종특별자치시,3.787307258467949,3.810567979505223,0.2931181255538149,-0.6780106410785777,1.1177569558775087,-0.21701823137496146,-0.9747870661197682,-0.8622402905512461,0.06651290589398012,-0.7977086599591926
2016,울산광역시,-0.3486288328627436,-0.1747648986124013,2.587606184373262,-0.4688525570843749,-1.2396791698980114,-0.7311253618671267,-0.6913821695782073,-0.5706599192768507,1.111405922683878,-0.26401296583286527
2016,인천광역시,-0.2352178380136812,-0.09989388103540899,-0.28520840363420596,-0.36248888979722055,-1.7333894052888343,-0.7589214680226061,-0.017841906837462788,-0.031347746916659515,1.1217742106123332,-0.1736330375607251
2016,전라남도,-0.21370930599997542,-0.2921755177485147,0.508266845183973,-0.35035343782486067,0.17871174096426146,0.7428020841693618,-0.28382121345447114,-0.3452797011024508,-1.3689189562010722,-0.2595720544200768
2016,전북특별자치도,-0.26688640919733314,-0.4095662620403698,-0.4114910903217407,-0.19294948724219269,0.7079058245710359,0.37134821824903896,-0.29015139359358283,-0.35717938715467284,-1.1195040299221164,-0.47573106986539093
2016,제주특별자치도,0.14724614137732653,0.28171781431906695,-1.7578294671548218,-0.41531379838278715,-0.8845372602996571,2.915118490186332,-0.772190011338088,-0.7375775477982741,-0.6632993610700774,-0.7231988130863326
2016,충청남도,-0.03376701386096851,-0.05787539897310396,0.6579697432237023,-0.38104899281377097,0.7659507886497602,0.196966818014136,-0.334107986071135,-0.28959888845757825,-0.5475201458689916,0.019708111166245174
2016,충청북도,0.1786103041377744,-0.18745614231899876,-0.1958185340116343,-0.47492028307055484,0.39407305573755447,0.27802663412706324,-0.4903333505123568,-0.44326609849479914,-0.8222797759730606,-0.3631059878806
2017,강원특별자치도,-0.4502098593071679,-0.3530009743580639,-0.6321635135711848,-0.2092811529133309,0.9073974220204659,1.6321098961494602,-0.3936979317916843,-0.4553937859678469,-1.1630914828158814,-0.5069914314861121
2017,경기도,0.6158563754811688,0.12242661150342189,0.23780954823953174,0.6166559698328387,-0.916118219968122,-0.6002097692607135,3.0687081681766815,2.981041104607997,1.009185172641359,2.7560718901350123
2017,경상남도,-0.6126251525960082,-0.2112469036569023,-0.06108838888646371,-0.1145235171873668,-0.6423375820592168,-0.21735009125827714,0.18781912377132265,0.10568915979691736,-0.31271540545819054,-0.00295638780595657
2017,경상북도,-0.8552518357730641,-0.3365625316925037,0.1676133161709054,-0.34503322679024406,1.5608274809692566,0.1214969963753292,-0.023594178592594012,-0.10343810943403911,-1.0377790382429521,0.00895814400592502
2017,광주광역시,0.1582456183746815,-0.5907960159451637,-0.6448807047586376,-0.25565191082178146,0.9037143407413665,-0.5917412261694632,-0.5069363539158058,-0.4798821797701113,0.04340507656069158,-0.5558732694658788
2017,대구광역시,-0.32386647406032687,-0.3248773760399839,-1.3249534768858067,-0.0036369221888981344,-1.197275076984371,-0.8537498512018066,-0.034650895526826306,-0.1705789160003508,0.3435720949563123,-0.4157468188195108
2017,대전광역시,-0.08299008389557191,-0.44029723256753606,0.1678716549238233,-0.323527947760238,1.202631976122263,-0.7057315701862129,-0.5102825100139972,-0.46754239494081795,0.400108407158983,-0.5510464910382743
2017,부산광역시,-0.5225252134513482,-0.42633150410352777,-0.7433583720564911,0.1865503892327178,-0.6975467913672201,-0.8578775738264078,0.23357287709152944,0.13328724474597256,0.5160952744613682,-0.15795489764958118
2017,서울특별시,-0.2715241169546921,-0.30761072454523114,1.5939761430417119,3.705351670517456,-0.07793942665999136,-0.6398877229463237,1.819018736982842,2.069271951665036,2.12592305078895,2.3908563777641536
2017,세종특별자치시,3.2390712281251277,3.6905976187642944,0.27911924647415765,-0.6955020709823738,0.6547983618461848,-0.32766881733337755,-0.9654164621601966,-0.8488913593841784,0.8139308985393531,-0.7780615636605611
2017,울산광역시,-1.0107650851773802,-0.4121202832800219,2.3906901937543634,-0.46835256122793495,-1.2334776210741396,-0.7381888413853434,-0.6896152737538683,-0.5708214511410725,0.9450718289063719,-0.2784575136754981
2017,인천광역시,-0.00035380835414200787,-0.20140160918003686,-0.2983685385123742,-0.2015526932619225,-1.748722693753438,-0.7525241101418385,-0.019176078298284414,-0.029886590543745716,0.9625572862886413,-0.17291598951968903
2017,전라남도,-0.6765828544685097,-0.3801857288671963,0.5488387536082177,-0.3534337264113402,0.22476638275711228,0.8340698945319956,-0.2855049643993985,-0.347310357158951,-1.399145157476515,-0.2720377495973402
2017,전북특별자치도,-0.42494482435223946,-0.5772275237377279,-0.39560245119566434,-0.2039048331558294,0.7718494011327366,0.41534319077354626,-0.2977847772159585,-0.35956796720484124,-1.2668385299506784,-0.4707728958980763
2017,제주특별자치도,1.2798568859105512,0.6221445305500075,-1.8494237578869184,-0.444495142304022,-0.9217619962721129,2.827856966431236,-0.7620257041052606,-0.7306353707559265,-0.6023911494244498,-0.7037645309452484
2017,충청남도,0.1038429403314291,0.2555462615279894,0.6690435090122993,-0.39106796471385075,0.7837473017384304,0.17789616657642057,-0.3240575970072709,-0.2840555082205453,-0.5639231431834574,0.04863132133565635
2017,충청북도,-0.16523373983250758,-0.12905661437181748,-0.10512316147145696,-0.49859435986388095,0.4254467408107939,0.27615646287177603,-0.49637617924123123,-0.44128547029349474,-0.8139651837499068,-0.3379381936790198
2018,강원특별자치도,-0.464767264362458,-0.2751861741888883,-0.6548403948125128,-0.17202687609138306,0.8693461243438461,1.504673944977469,-0.39878972842251487,-0.454734077730828,-1.1695472308873118,-0.49670114022381323
2018,경기도,0.41530878297338203,0.43361682904576215,0.2722509432813001,0.7196639327152353,-0.9253196721700802,-0.6300765160619857,3.1058188841602363,3.014967301232375,1.099089649786648,2.7633750722499206
2018,경상남도,-0.2728518516239854,-0.3662134262737256,-0.14312367890088082,-0.12554211395563825,-0.6552063052396483,-0.19853950480539526,0.21792111401587058,0.1039059716439407,-0.33127911468720167,-0.022919486105948433
2018,경상북도,-0.7475943489050678,-0.39763758972337176,0.19182243874654095,-0.3419475268713692,1.4088162067982377,0.09861514555553709,-0.015472362027267657,-0.10749793301469848,-1.013700200833207,-0.01963116979763778
2018,광주광역시,-0.114938122700772,-0.5259996649958223,-0.7335504799004134,-0.25871467574993423,0.868990437100003,-0.5949302038897428,-0.5124749871593233,-0.47940257315704293,0.02587032918678878,-0.5437120089669812
2018,대구광역시,-0.20108860414982146,-0.2376816123674276,-1.3139122527112028,-0.039482486758380966,-1.1907241461813571,-0.8271663005603627,-0.05267452328645662,-0.17402092463825955,0.25078592937850863,-0.4125980997964149
2018,대전광역시,-0.5179385070644211,-0.5275789653400467,0.18774085535078425,-0.33409537110519605,1.1805786651900567,-0.7324909974583256,-0.5115539629583893,-0.4693226451854451,0.2200887870951241,-0.5447954210725623
2018,부산광역시,-0.6552441601320371,-0.45719248061445067,-0.6164066085340291,0.14582838932330444,-0.6923696619711044,-0.8565370120198886,0.22437707285836586,0.12262645044298705,0.532963506521926,-0.15554412232054599
2018,서울특별시,-0.15133811503872704,-0.24641221717471493,1.6603426933606207,3.6890351572512587,-0.08062995189336016,-0.6382036436979294,1.75951764294932,2.029173592492805,2.116227652753402,2.3986527362914862
2018,세종특별자치시,3.4265737314100715,3.6682404314997,0.23152278378530744,-0.6912114153507491,1.194141985089376,-0.14402810589543918,-0.9539256699633067,-0.8335947119833489,0.8127797650281601,-0.7605422878315792
2018,울산광역시,-0.817584647042705,-0.43074598825575827,2.32766943902601,-0.4826581582011913,-1.2223093208426377,-0.7275422598551547,-0.685098029684158,-0.5707637410107043,0.9798430586088862,-0.30332452320777126
2018,인천광역시,-0.35828004854226525,-0.15321041350611836,-0.3695207200919519,-0.25745833082734654,-1.7389629158668822,-0.7638597990881772,-0.016633216719364536,-0.029012751000267473,1.0046369042993122,-0.18047102858299086
2018,전라남도,0.41326990268667657,-0.5104162839156042,0.6643904843083902,-0.3372362334116653,0.20894926600695957,0.8435783236338732,-0.2940171578443419,-0.3493515786117111,-1.3879692048267773,-0.28006209618362304
2018,전북특별자치도,-0.47774712817662884,-0.5801793485863322,-0.42180167594771206,-0.20155098177219397,0.5955055923486203,0.33243919816288636,-0.298936971716749,-0.36261975988302636,-1.2870228330871865,-0.465427959743935
2018,제주특별자치도,1.046527002389565,0.5449606323263342,-1.8406091620112268,-0.46475524305431665,-0.9627731545410474,2.9207383707586354,-0.7555415778322329,-0.723142003428282,-0.5195942760025783,-0.6913994949626668
2018,충청남도,-0.3936990477125232,0.060411351846274434,0.619832974098401,-0.3874900303151732,0.5773450620556272,0.17237668634676298,-0.3128973103838893,-0.2788631404756912,-0.5237265836176493,0.029407316353271516
2018,충청북도,-0.1286075740082831,0.0012249202241893385,-0.061807639047414466,-0.4603580358252597,0.5646217897733895,0.24095267389723662,-0.4996192159857979,-0.4383474756928024,-0.809446138716842,-0.3143062860982094
2019,강원특별자치도,-0.6767903421974166,0.09035123211048633,-0.7158347006193088,-0.3493996665143135,0.9079795116346541,1.6146739495000706,-0.4064515801712977,-0.45309659441753897,-1.087463450798266,-0.4874366383938685
2019,경기도,0.7039546293613876,0.7789969206358409,0.3931113955465626,0.5762507039048245,-0.9529897363733577,-0.6849308568581277,3.1457140994635755,3.0457410157519096,1.1378089809278153,2.7250573949383794
2019,경상남도,-0.9592716287897668,-0.529081238250908,0.07070784112369598,-0.07391265737026108,-0.6471561912024927,-0.2064157563818355,0.20461383352533805,0.09978672012738427,-0.49045378895326597,-0.012262855119073032
2019,경상북도,-0.9083997866746353,-0.46642414263044485,0.3964462182753806,-0.08512841346772886,1.4664005842294257,0.08025815482826307,-0.02359866126030428,-0.11118813994749926,-1.0003745162232909,-0.04526436098506896
2019,광주광역시,0.7729849390697061,-0.4870485955829679,-0.7563145283169037,-0.34203932657535024,0.9063489281729028,-0.5527349088375925,-0.4990744982103208,-0.4773474951181682,-0.04840236931753159,-0.5367444588208283
2019,대구광역시,-0.34408915051451255,-0.2609622980766539,-1.2598754938296757,0.06453183195785687,-1.185293816359301,-0.8306134401512728,-0.05371315279418698,-0.17887811995104547,0.25730982170772515,-0.40839533143580214
2019,대전광역시,-0.2308910293331453,-0.5097904996774891,0.12850961278237266,-0.3073405811488093,1.250810439636014,-0.7134479730249502,-0.509365454632399,-0.47038131469639244,0.1353853133027603,-0.5331060756233478
2019,부산광역시,-0.8819238462655585,-0.5070699635716004,-0.6547199739218391,-0.0076695979195919774,-0.6733425809747485,-0.8312905917290236,0.2029894593123177,0.11251842400468952,0.5053631319109291,-0.14621016738021111
2019,서울특별시,0.33545458652766796,0.058974381126106826,1.835211749243859,3.7345375224761432,-0.050417043680808286,-0.6990955922837538,1.7184059523216737,1.9929799810235105,2.0951866479106425,2.448780507374594
2019,세종특별자치시,2.9773491084304604,3.5840533263497996,0.22553737346183328,-0.6038571329756138,0.8581803755708711,-0.1760592911820866,-0.9273227388908912,-0.8184472570624164,1.2327058889474432,-0.7563924178829201
2019,울산광역시,-1.3162595014992882,-0.45314886774397933,2.1830610944721083,-0.43562079151359706,-1.2179066830631509,-0.7554108399970361,-0.6738137566697011,-0.569455492444243,0.7251876150450037,-0.31972122125003166
2019,인천광역시,0.10438629806501351,0.0027730691267533417,-0.44772588706735367,-0.26177657200284643,-1.7561139150294334,-0.773775527546841,-0.012458406471036541,-0.028114619125507907,0.9642317251197621,-0.17636949976070598
2019,전라남도,0.6021743689230509,-0.609908118749128,0.4826568527378323,-0.37288265584338665,0.24820370201362746,0.9219663468571532,-0.30746916902235816,-0.3514217781845303,-1.3529345479164652,-0.28556636428449034
2019,전북특별자치도,-0.46146957963373086,-0.7648311677866949,-0.47459307772436365,-0.2677349424296262,0.6522002126249092,0.42658020782706746,-0.30920214810355307,-0.36578727492720464,-1.271851746760454,-0.4609918441513735
2019,제주특별자치도,0.5018759378854402,-0.013855945661286558,-1.8194232127290464,-0.43141488297704667,-0.9838699319934694,2.8085389211801575,-0.735112590483058,-0.715976206088158,-0.5156795493129139,-0.6934064321730681
2019,충청남도,-0.41119403674113625,-0.11463042038358029,0.6112443370075509,-0.3956646604163681,0.5952677605326114,0.16273259442989324,-0.3197079311573512,-0.2762785487684726,-0.5138777092872248,-0.0006025726705077991
2019,충청북도,0.19210903338646337,0.20160232876574485,-0.19799960044269452,-0.4408781771842851,0.5816983842617424,0.20902460336991432,-0.4944332567564467,-0.4346533001763175,-0.7721414463026675,-0.31136766238167674
2020,강원특별자치도,-0.7692806937656812,0.6317786550304342,-0.9161755467010322,-0.3034222500443525,0.7390115546731063,1.6595670993704645,-0.41718589598316635,-0.44939654292542924,-1.0786719790141237,-0.47973176503455855
2020,경기도,1.477147066446855,1.495057997389476,0.7299875109030355,0.6502576557159863,-0.9759217807612096,-0.734796894119299,3.2573202951111146,3.07247962089009,1.140751819326336,2.763801100917587
2020,경상남도,-0.1332224266519661,-1.5520169740113194,-0.02465521392114975,-0.16604122509395197,-0.630904748951598,-0.18563621056702384,0.1558799467430136,0.09383101674537593,-0.5013652106596689,-0.045868321465433605
2020,경상북도,-1.253624393474043,-1.1786963824180332,0.4694873351923187,-0.2043801157777847,1.5307224660573735,0.13971968307031354,-0.0669465443453552,-0.11590790344362441,-0.985492640963931,-0.06362076232354413
2020,광주광역시,-0.5899682491486756,-0.4888005229547703,-0.8114993648830798,-0.24511518712935695,0.9447265185869781,-0.5576352508146082,-0.4823711073604598,-0.4747673289530281,-0.04424628413807111,-0.5207898697894718
2020,대구광역시,-0.321148308469154,-0.42022470879001617,-1.1823789560765696,0.10312973658212354,-1.1729639272572616,-0.8401264249031061,-0.08667244955702164,-0.18385457540454048,0.25149683228210595,-0.4039042855720825
2020,대전광역시,0.1335682845340594,-0.055762832373067686,-0.057899805778723765,-0.3585344054023621,1.3178254911674752,-0.7466929729818852,-0.5095230638267044,-0.47034175751856877,-0.019938630733673048,-0.5135270389863353
