연도,행정구역,통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수
2015,서울특별시,0,820658,5108828,293173
2015,부산광역시,0,278850,1371843,227632
2015,대구광역시,0,200069,895517,178781
2015,인천광역시,0,186011,984652,245240
2015,광주광역시,0,113424,559853,82540
2015,대전광역시,0,111815,586069,61558
2015,울산광역시,0,80805,519516,186809
2015,세종특별자치시,0,10480,83764,18675
2015,경기도,0,827983,4650266,1260761
2015,강원특별자치도,0,133517,580331,56047
2015,충청북도,0,121493,648454,186786
2015,충청남도,0,158306,858311,276581
2015,전북특별자치도,0,146652,669128,122344
2015,전라남도,0,147196,690853,120633
2015,경상북도,0,218795,1066259,328305
2015,경상남도,0,262947,1365595,444673
2015,제주특별자치도,0,55155,250000,11721
2016,서울특별시,0,820156,5079451,278773
2016,부산광역시,0,283554,1408615,224025
2016,대구광역시,0,205318,929078,179927
2016,인천광역시,0,191566,1004747,248950
2016,광주광역시,0,116046,585486,85157
2016,대전광역시,0,113228,597011,61352
2016,울산광역시,0,82948,523344,180111
2016,세종특별자치시,0,11853,90672,18677
2016,경기도,0,856162,4802589,1276105
2016,강원특별자치도,0,136452,596710,57365
2016,충청북도,0,124834,667313,194233
2016,충청남도,0,161608,879981,284596
2016,전북특별자치도,0,147502,675943,118968
2016,전라남도,0,149713,694319,115015
2016,경상북도,0,222536,1086638,328962
2016,경상남도,0,268902,1379041,433488
2016,제주특별자치도,0,57791,258188,11634
2017,서울특별시,0,822863,5119913,277920
2017,부산광역시,0,286571,1424317,219037
2017,대구광역시,0,209376,943170,179147
2017,인천광역시,0,196705,1034344,250329
2017,광주광역시,0,118409,600938,86364
2017,대전광역시,0,115423,605742,61370
2017,울산광역시,0,83872,521482,177427
2017,세종특별자치시,0,13668,99827,19107
2017,경기도,0,878275,4953790,1300516
2017,강원특별자치도,0,140058,616250,58955
2017,충청북도,0,126224,681870,198137
2017,충청남도,0,166247,897794,284336
2017,전북특별자치도,0,148269,681638,117665
2017,전라남도,0,153280,707972,114092
2017,경상북도,0,226079,1096368,324059
2017,경상남도,0,274490,1378742,423853
2017,제주특별자치도,0,60063,262747,11672
2018,서울특별시,0,823385,5210936,266500
2018,부산광역시,0,288860,1442115,216091
2018,대구광역시,0,210547,967206,176508
2018,인천광역시,0,202493,1070454,247361
2018,광주광역시,0,119617,616265,86109
2018,대전광역시,0,117557,618271,61879
2018,울산광역시,0,85662,527085,175990
2018,세종특별자치시,0,15871,115585,20248
2018,경기도,0,909032,5174364,1317605
2018,강원특별자치도,0,143475,639277,59477
2018,충청북도,0,129920,713339,208750
2018,충청남도,0,172242,928259,293530
2018,전북특별자치도,0,151011,694669,115285
2018,전라남도,0,156914,733925,117989
2018,경상북도,0,232030,1117782,320706
2018,경상남도,0,281685,1388302,409762
2018,제주특별자치도,0,62871,276942,12081
2019,서울특별시,0,823624,5226997,265273
2019,부산광역시,0,290357,1465433,214649
2019,대구광역시,0,210944,967934,174311
2019,인천광역시,0,206244,1092494,244352
2019,광주광역시,0,123706,631876,85858
2019,대전광역시,0,119628,633418,63480
2019,울산광역시,0,87054,533187,177173
2019,세종특별자치시,0,18041,125410,20555
2019,경기도,0,934349,5302740,1321095
2019,강원특별자치도,0,146815,670247,61976
2019,충청북도,0,133522,741452,212108
2019,충청남도,0,176643,973944,299436
2019,전북특별자치도,0,154082,720052,117056
2019,전라남도,0,161883,774294,122103
2019,경상북도,0,236807,1150047,319306
2019,경상남도,0,286752,1427443,412713
2019,제주특별자치도,0,66098,286304,12373
2020,서울특별시,1,1211053,5868926,284356
2020,부산광역시,1,402003,1537281,216869
2020,대구광역시,1,283033,1010557,173382
2020,인천광역시,1,306108,1208269,253606
2020,광주광역시,1,170085,667435,88160
2020,대전광역시,1,164406,691264,67835
2020,울산광역시,1,117247,543424,175733
2020,세종특별자치시,1,28490,139731,20429
2020,경기도,1,1455644,5886850,1382830
2020,강원특별자치도,1,193074,704983,63725
2020,충청북도,1,191265,808018,224247
2020,충청남도,1,253192,1064810,314229
2020,전북특별자치도,1,225964,794929,120948
2020,전라남도,1,228219,847692,125923
2020,경상북도,1,321061,1225829,320531
2020,경상남도,1,387177,1494560,413775
2020,제주특별자치도,1,94001,318891,13851
2021,서울특별시,1,1188091,5771226,267489
2021,부산광역시,1,401254,1544504,213028
2021,대구광역시,1,279798,1004563,169828
2021,인천광역시,1,308892,1223448,250357
2021,광주광역시,1,170973,676261,87325
2021,대전광역시,1,164095,688457,67179
2021,울산광역시,1,115408,543984,177408
2021,세종특별자치시,1,30478,152974,21081
2021,경기도,1,1481054,5994570,1373285
2021,강원특별자치도,1,200365,714310,64204
2021,충청북도,1,194561,817324,224302
2021,충청남도,1,261263,1082844,318380
2021,전북특별자치도,1,231380,791096,121697
2021,전라남도,1,234688,856478,126107
2021,경상북도,1,328657,1234314,315862
2021,경상남도,1,392614,1511931,406186
2021,제주특별자치도,1,96131,323316,13819
2022,서울특별시,1,1180025,5795417,261088
2022,부산광역시,1,400565,1554664,210883
2022,대구광역시,1,279223,1014987,169297
2022,인천광역시,1,317133,1250203,252668
2022,광주광역시,1,170894,675251,88914
2022,대전광역시,1,164664,695570,69175
2022,울산광역시,1,115784,547780,176701
2022,세종특별자치시,1,33076,158168,22513
2022,경기도,1,1514951,6103213,1387627
2022,강원특별자치도,1,203375,727557,64520
2022,충청북도,1,197158,838620,231173
2022,충청남도,1,266577,1092389,315551
2022,전북특별자치도,1,232695,795273,123074
2022,전라남도,1,236470,862357,128548
2022,경상북도,1,333276,1255587,325945
2022,경상남도,1,397699,1529668,412666
2022,제주특별자치도,1,96334,320419,13561
2023,서울특별시,1,1177287,5800617,241919
2023,부산광역시,1,401008,1555085,205191
2023,대구광역시,1,285388,1028785,164964
2023,인천광역시,1,322297,1258759,246065
2023,광주광역시,1,173424,678748,82335
2023,대전광역시,1,167782,709610,66422
2023,울산광역시,1,116666,551628,171192
2023,세종특별자치시,1,34099,163650,23411
2023,경기도,1,1562116,6187581,1357108
2023,강원특별자치도,1,209314,738221,63456
2023,충청북도,1,203356,845108,227470
2023,충청남도,1,276134,1100749,311475
2023,전북특별자치도,1,239757,799091,120105
2023,전라남도,1,243020,888352,129241
2023,경상북도,1,336555,1263352,320444
2023,경상남도,1,399164,1547788,413205
2023,제주특별자치도,1,99122,328773,12966
2024,서울특별시,1,1176066,5772456,237097
2024,부산광역시,1,402419,1563954,210397
2024,대구광역시,1,286841,1021246,159551
2024,인천광역시,1,328929,1271660,242091
2024,광주광역시,1,175238,673601,80250
2024,대전광역시,1,172209,706075,66618
2024,울산광역시,1,116775,568107,180998
2024,세종특별자치시,1,36117,172001,24037
2024,경기도,1,1604724,6269495,1360933
2024,강원특별자치도,1,214203,751263,62173
2024,충청북도,1,208190,861910,228821
2024,충청남도,1,287424,1121335,314597
2024,전북특별자치도,1,252411,817157,119854
2024,전라남도,1,253206,899604,128939
2024,경상북도,1,344568,1283224,317918
2024,경상남도,1,403774,1557690,412477
2024,제주특별자치도,1,100168,330702,12905
