연도,행정구역,연앙인구수(명),연앙인구수(천명)
2015,전국,50951719.0,50951.719
2015,서울특별시,9907155.0,9907.155
2015,부산광역시,3478811.5,3478.8115
2015,대구광역시,2471181.5,2471.1815
2015,인천광역시,2886542.0,2886.542
2015,광주광역시,1465091.0,1465.091
2015,대전광역시,1514389.5,1514.3895
2015,울산광역시,1163345.5,1163.3455
2015,세종특별자치시,182610.0,182.61
2015,경기도,12337489.0,12337.489
2015,강원특별자치도,1533360.0,1533.36
2015,충청북도,1571121.5,1571.1215
2015,충청남도,2055843.0,2055.843
2015,전북특별자치도,1858351.5,1858.3515
2015,전라남도,1894202.5,1894.2025
2015,경상북도,2684089.5,2684.0895
2015,경상남도,3336798.5,3336.7985
2015,제주특별자치도,611337.5,611.3375
2016,전국,51112971.5,51112.9715
2016,서울특별시,9811038.5,9811.0385
2016,부산광역시,3467418.0,3467.418
2016,대구광역시,2466465.0,2466.465
2016,인천광역시,2905551.5,2905.5515
2016,광주광역시,1461531.0,1461.531
2016,대전광역시,1505374.0,1505.374
2016,울산광역시,1166314.5,1166.3145
2016,세종특별자치시,225992.0,225.992
2016,경기도,12509483.5,12509.4835
2016,강원특별자치도,1536275.0,1536.275
2016,충청북도,1577149.0,1577.149
2016,충청남도,2072713.0,2072.713
2016,전북특별자치도,1854771.5,1854.7715
2016,전라남도,1893147.0,1893.147
2016,경상북도,2683477.5,2683.4775
2016,경상남도,3348251.5,3348.2515
2016,제주특별자치도,628019.0,628.019
2017,전국,51230704.0,51230.704
2017,서울특별시,9724400.5,9724.4005
2017,부산광역시,3445833.0,3445.833
2017,대구광역시,2460368.5,2460.3685
2017,인천광역시,2916646.0,2916.646
2017,광주광역시,1457271.0,1457.271
2017,대전광역시,1497290.0,1497.29
2017,울산광역시,1162347.0,1162.347
2017,세종특별자치시,260542.0,260.542
2017,경기도,12681347.5,12681.3475
2017,강원특별자치도,1536689.0,1536.689
2017,충청북도,1582443.5,1582.4435
2017,충청남도,2092354.0,2092.354
2017,전북특별자치도,1847460.5,1847.4605
2017,전라남도,1887213.0,1887.213
2017,경상북도,2678112.0,2678.112
2017,경상남도,3356330.0,3356.33
2017,제주특별자치도,644056.5,644.0565
2018,전국,51300879.5,51300.8795
2018,서울특별시,9642857.0,9642.857
2018,부산광역시,3418068.5,3418.0685
2018,대구광역시,2449528.5,2449.5285
2018,인천광역시,2922973.5,2922.9735
2018,광주광역시,1452471.5,1452.4715
2018,대전광역시,1485382.0,1485.382
2018,울산광역시,1154181.5,1154.1815
2018,세종특별자치시,296050.5,296.0505
2018,경기도,12861428.0,12861.428
2018,강원특별자치도,1533013.0,1533.013
2018,충청북도,1586514.5,1586.5145
2018,충청남도,2107223.5,2107.2235
2018,전북특별자치도,1833762.0,1833.762
2018,전라남도,1877082.0,1877.082
2018,경상북도,2666723.0,2666.723
2018,경상남도,3356947.0,3356.947
2018,제주특별자치도,656673.5,656.6735
2019,전국,51337423.5,51337.4235
2019,서울특별시,9578974.5,9578.9745
2019,부산광역시,3390159.5,3390.1595
2019,대구광역시,2431140.0,2431.14
2019,인천광역시,2927320.0,2927.32
2019,광주광역시,1448843.0,1448.843
2019,대전광역시,1471769.5,1471.7695
2019,울산광역시,1145705.0,1145.705
2019,세종특별자치시,326244.5,326.2445
2019,경기도,13043732.0,13043.732
2019,강원특별자치도,1528655.5,1528.6555
2019,충청북도,1589354.5,1589.3545
2019,충청남도,2110584.0,2110.584
2019,전북특별자치도,1816000.5,1816.0005
2019,전라남도,1863279.0,1863.279
2019,경상북도,2653915.5,2653.9155
2019,경상남도,3348258.0,3348.258
2019,제주특별자치도,663488.5,663.4885
2020,전국,51349259.0,51349.259
2020,서울특별시,9533412.0,9533.412
2020,부산광역시,3366576.5,3366.5765
2020,대구광역시,2410205.5,2410.2055
2020,인천광역시,2922121.0,2922.121
2020,광주광역시,1444467.0,1444.467
2020,대전광역시,1459158.5,1459.1585
2020,울산광역시,1136113.5,1136.1135
2020,세종특별자치시,347069.5,347.0695
2020,경기도,13220207.0,13220.207
2020,강원특별자치도,1528690.0,1528.69
2020,충청북도,1590372.0,1590.372
2020,충청남도,2108087.5,2108.0875
2020,전북특별자치도,1799898.5,1799.8985
2020,전라남도,1847811.0,1847.811
2020,경상북도,2635767.0,2635.767
2020,경상남도,3332034.0,3332.034
2020,제주특별자치도,667268.5,667.2685
2021,전국,51333252.5,51333.2525
2021,서울특별시,9453878.0,9453.878
2021,부산광역시,3343353.0,3343.353
2021,대구광역시,2387449.5,2387.4495
2021,인천광역시,2921874.5,2921.8745
2021,광주광역시,1438867.5,1438.8675
2021,대전광역시,1449628.0,1449.628
2021,울산광역시,1124040.5,1124.0405
2021,세종특별자치시,362921.5,362.9215
2021,경기도,13398945.0,13398.945
2021,강원특별자치도,1530536.5,1530.5365
2021,충청북도,1591246.0,1591.246
2021,충청남도,2109102.0,2109.102
2021,전북특별자치도,1786321.5,1786.3215
2021,전라남도,1833020.5,1833.0205
2021,경상북도,2619827.5,2619.8275
2021,경상남도,3311248.5,3311.2485
2021,제주특별자치도,670992.5,670.9925
2022,전국,51259149.5,51259.1495
2022,서울특별시,9378610.0,9378.61
2022,부산광역시,3316707.0,3316.707
2022,대구광역시,2364488.0,2364.488
2022,인천광역시,2939962.0,2939.962
2022,광주광역시,1431266.5,1431.2665
2022,대전광역시,1442984.5,1442.9845
2022,울산광역시,1112600.0,1112.6
2022,세종특별자치시,376991.0,376.991
2022,경기도,13503168.5,13503.1685
2022,강원특별자치도,1531310.5,1531.3105
2022,충청북도,1591003.5,1591.0035
2022,충청남도,2113857.5,2113.8575
2022,전북특별자치도,1772150.5,1772.1505
2022,전라남도,1820069.0,1820.069
2022,경상북도,2604744.5,2604.7445
2022,경상남도,3285522.5,3285.5225
2022,제주특별자치도,673714.0,673.714
2023,전국,51145884.5,51145.8845
2023,서울특별시,9334933.5,9334.9335
2023,부산광역시,3291326.0,3291.326
2023,대구광역시,2372562.0,2372.562
2023,인천광역시,2966979.0,2966.979
2023,광주광역시,1420562.0,1420.562
2023,대전광역시,1438846.0,1438.846
2023,울산광역시,1103825.0,1103.825
2023,세종특별자치시,384276.5,384.2765
2023,경기도,13545542.5,13545.5425
2023,강원특별자치도,1526763.0,1526.763
2023,충청북도,1589702.0,1589.702
2023,충청남도,2119950.5,2119.9505
2023,전북특별자치도,1757041.0,1757.041
2023,전라남도,1806802.0,1806.802
2023,경상북도,2558213.5,2558.2135
2023,경상남도,3255461.0,3255.461
2023,제주특별자치도,673099.0,673.099
2024,전국,51037252.5,51037.2525
2024,서울특별시,9288119.0,9288.119
2024,부산광역시,3266012.0,3266.012
2024,대구광역시,2361081.5,2361.0815
2024,인천광역시,2993657.5,2993.6575
2024,광주광역시,1409318.0,1409.318
2024,대전광역시,1435455.0,1435.455
2024,울산광역시,1097533.0,1097.533
2024,세종특별자치시,387775.5,387.7755
2024,경기도,13598221.5,13598.2215
2024,강원특별자치도,1517359.5,1517.3595
2024,충청북도,1587714.5,1587.7145
2024,충청남도,2126611.5,2126.6115
2024,전북특별자치도,1741636.0,1741.636
2024,전라남도,1792325.0,1792.325
2024,경상북도,2535499.0,2535.499
2024,경상남도,3229883.0,3229.883
2024,제주특별자치도,669051.0,669.051